,id,full_name,first_name,last_name,is_active
1506,2558,Reece Gaines,Reece,Gaines,False
1507,202178,Sundiata Gaines,Sundiata,Gaines,False
1508,76771,Mike Gale,Mike,Gale,False
1509,76772,Chad Gallagher,Chad,Gallagher,False
1510,76773,Harry Gallatin,Harry,Gallatin,False
1511,201568,Danilo Gallinari,Danilo,Gallinari,False
1512,1641945,Jaylin Galloway,Jaylin,Galloway,False
1513,204038,Langston Galloway,Langston,Galloway,False
1514,76774,Dave Gambee,Dave,Gambee,False
1515,333,Kevin Gamble,Kevin,Gamble,False
1516,76776,Bob Gantt,Bob,Gantt,False
1517,200816,Jorge Garbajosa,Jorge,Garbajosa,False
1518,2092,Ruben Garces,Ruben,Garces,False
1519,2682,Alex Garcia,Alex,Garcia,False
1520,101128,Francisco Garcia,Francisco,Garcia,False
1521,76778,Earl Gardner,Earl,Gardner,False
1522,1642066,Myron Gardner,Myron,Gardner,True
1523,201242,Thomas Gardner,Thomas,Gardner,False
1524,76779,Vern Gardner,Vern,Gardner,False
1525,76780,Jack Garfinkel,Jack,Garfinkel,False
1526,1627868,Patricio Garino,Patricio,Garino,False
1527,1629636,Darius Garland,Darius,Garland,True
1528,76781,Gary Garland,Gary,Garland,False
1529,76782,Winston Garland,Winston,Garland,False
1530,76783,Dick Garmaker,Dick,Garmaker,False
1531,1612,Chris Garner,Chris,Garner,False
1532,76785,Bill Garnett,Bill,Garnett,False
1533,708,Kevin Garnett,Kevin,Garnett,False
1534,1831,Marlon Garnett,Marlon,Garnett,False
1535,1628656,Billy Garrett,Billy,Garrett,False
1536,76786,Calvin Garrett,Calvin,Garrett,False
1537,1051,Dean Garrett,Dean,Garrett,False
1538,203197,Diante Garrett,Diante,Garrett,False
1539,76788,Eldo Garrett,Eldo,Garrett,False
1540,1630585,Marcus Garrett,Marcus,Garrett,False
1541,76789,Rowland Garrett,Rowland,Garrett,False
1542,76790,Tom Garrick,Tom,Garrick,False
1543,76791,John Garris,John,Garris,False
1544,1619,Kiwane Garris,Kiwane,Garris,False
1545,1727,Pat Garrity,Pat,Garrity,False
1546,1630586,Usman Garuba,Usman,Garuba,False
1547,76793,Jim Garvin,Jim,Garvin,False
1548,1630568,Luka Garza,Luka,Garza,True
1549,201188,Marc Gasol,Marc,Gasol,False
1550,2200,Pau Gasol,Pau,Gasol,False
1551,76794,Frank Gates,Frank,Gates,False
1552,1629232,Kaiser Gates,Kaiser,Gates,False
1553,423,Chris Gatling,Chris,Gatling,False
1554,930,Kenny Gattison,Kenny,Gattison,False
1555,200752,Rudy Gay,Rudy,Gay,False
1556,76797,Ed Gayda,Ed,Gayda,False
1557,1845,Andrew Gaze,Andrew,Gaze,False
1558,1627771,Michael Gbinije,Michael,Gbinije,False
1559,1002,Reggie Geary,Reggie,Geary,False
1560,202087,Alonzo Gee,Alonzo,Gee,False
1561,761,Matt Geiger,Matt,Geiger,False
1562,101153,Mickael Gelabale,Mickael,Gelabale,False
1563,1904,Devean George,Devean,George,False
1564,76800,Jack George,Jack,George,False
1565,1641718,Keyonte George,Keyonte,George,True
1566,1642273,Kyshawn George,Kyshawn,George,True
1567,202331,Paul George,Paul,George,True
1568,76801,Tate George,Tate,George,False
1569,1627875,Marcus Georges-Hunt,Marcus,Georges-Hunt,False
1570,76802,Gus Gerard,Gus,Gerard,False
1571,76803,Derrick Gervin,Derrick,Gervin,False
1572,76804,George Gervin,George,Gervin,False
1573,76805,Gorham Getchell,Gorham,Getchell,False
1574,76806,John Gianelli,John,Gianelli,False
