,id,full_name,first_name,last_name,is_active
356,1642877,Micah Peavy,Micah,Peavy,True
357,1642869,Noah Penda,Noah,Penda,True
358,1643007,Taelon Peter,Taelon,Peter,True
359,1641809,Drew Peterson,Drew,Peterson,True
360,1641763,Julian Phillips,Julian,Phillips,True
361,1629618,Jalen Pickett,Jalen,Pickett,True
362,1630590,Scotty Pippen Jr.,Scotty,Pippen Jr.,True
363,1631342,Daeqwon Plowden,Daeqwon,Plowden,True
364,203486,Mason Plumlee,Mason,Plumlee,True
365,1641764,Brandin Podziemski,Brandin,Podziemski,True
366,1627751,Jakob Poeltl,Jakob,Poeltl,True
367,1629673,Jordan Poole,Jordan,Poole,True
368,1641854,Craig Porter Jr.,Craig,Porter Jr.,True
369,1629645,Kevin Porter Jr.,Kevin,Porter Jr.,True
370,1629008,Michael Porter Jr.,Michael,Porter Jr.,True
371,1626171,Bobby Portis,Bobby,Portis,True
372,204001,Kristaps Porziņģis,Kristaps,Porziņģis,True
373,1642366,Quinten Post,Quinten,Post,True
374,1642962,Drake Powell,Drake,Powell,True
375,203939,Dwight Powell,Dwight,Powell,True
376,1626181,Norman Powell,Norman,Powell,True
377,1627752,Taurean Prince,Taurean,Prince,True
378,1630202,Payton Pritchard,Payton,Pritchard,True
379,1642878,Tyrese Proctor,Tyrese,Proctor,True
380,1641765,Olivier-Maxence Prosper,Olivier-Maxence,Prosper,True
381,1642852,Derik Queen,Derik,Queen,True
382,1629674,Neemias Queta,Neemias,Queta,True
383,1630193,Immanuel Quickley,Immanuel,Quickley,True
384,203944,Julius Randle,Julius,Randle,True
385,1642875,Maxime Raynaud,Maxime,Raynaud,True
386,1641871,Duop Reath,Duop,Reath,True
387,1630559,Austin Reaves,Austin,Reaves,True
388,1630194,Paul Reed,Paul,Reed,True
389,1641810,Antonio Reeves,Antonio,Reeves,True
390,1629675,Naz Reid,Naz,Reid,True
391,1642954,Will Richard,Will,Richard,True
392,1630208,Nick Richards,Nick,Richards,True
393,1642859,Jase Richardson,Jase,Richardson,True
394,1642860,Will Riley,Will,Riley,True
395,1642258,Zaccharie Risacher,Zaccharie,Risacher,True
396,1629130,Duncan Robinson,Duncan,Robinson,True
397,1629011,Mitchell Robinson,Mitchell,Robinson,True
398,1631115,Orlando Robinson,Orlando,Robinson,True
399,1630526,Jeremiah Robinson-Earl,Jeremiah,Robinson-Earl,True
400,1631157,Ryan Rollins,Ryan,Rollins,True
401,1642050,Jackson Rowe,Jackson,Rowe,True
402,1626179,Terry Rozier,Terry,Rozier,True
403,1641712,Rayan Rupert,Rayan,Rupert,True
404,1626156,D'Angelo Russell,D'Angelo,Russell,True
405,1627734,Domantas Sabonis,Domantas,Sabonis,True
406,1642275,Tidjane Salaün,Tidjane,Salaün,True
407,1642282,Hunter Sallis,Hunter,Sallis,True
408,1642920,Kobe Sanders,Kobe,Sanders,True
409,1630611,Gui Santos,Gui,Santos,True
410,1642879,Ben Saraf,Ben,Saraf,True
411,1642259,Alex Sarr,Alex,Sarr,True
412,1631204,Marcus Sasser,Marcus,Sasser,True
413,1631248,Baylor Scheierman,Baylor,Scheierman,True
414,203471,Dennis Schröder,Dennis,Schröder,True
415,1641813,Mark Sears,Mark,Sears,True
416,1630578,Alperen Sengun,Alperen,Sengun,True
417,1641729,Brice Sensabaugh,Brice,Sensabaugh,True
418,1629012,Collin Sexton,Collin,Sexton,True
419,1629013,Landry Shamet,Landry,Shamet,True
420,1630545,Terrence Shannon Jr.,Terrence,Shannon Jr.,True
421,1630549,Day'Ron Sharpe,Day'Ron,Sharpe,True
422,1631101,Shaedon Sharpe,Shaedon,Sharpe,True
423,1642347,Jamal Shead,Jamal,Shead,True
424,1641767,Ben Sheppard,Ben,Sheppard,True
425,1642263,Reed Sheppard,Reed,Sheppard,True
426,1642917,Max Shulga,Max,Shulga,True
427,1627783,Pascal Siakam,Pascal,Siakam,True
428,1629014,Anfernee Simons,Anfernee,Simons,True
429,1642354,KJ Simpson,KJ,Simpson,True
430,1630579,Jericho Sims,Jericho,Sims,True
431,1642914,Javon Small,Javon,Small,True
432,203935,Marcus Smart,Marcus,Smart,True
433,1630696,Dru Smith,Dru,Smith,True
434,1630188,Jalen Smith,Jalen,Smith,True
435,1642449,Tolu Smith,Tolu,Smith,True
436,1631095,Jabari Smith Jr.,Jabari,Smith Jr.,True
437,1641733,Nick Smith Jr.,Nick,Smith Jr.,True
438,1631110,Jeremy Sochan,Jeremy,Sochan,True
439,1642850,Thomas Sorber,Thomas,Sorber,True
440,1642285,Cam Spencer,Cam,Spencer,True
441,1630311,Pat Spencer,Pat,Spencer,True
442,1641815,Isaiah Stevens,Isaiah,Stevens,True
443,1630191,Isaiah Stewart,Isaiah,Stewart,True
444,1631124,Julian Strawther,Julian,Strawther,True
445,1629622,Max Strus,Max,Strus,True
446,1630591,Jalen Suggs,Jalen,Suggs,True
447,1630256,Jae'Sean Tate,Jae'Sean,Tate,True
448,1628369,Jayson Tatum,Jayson,Tatum,True
449,1643141,Jahmyl Telfort,Jahmyl,Telfort,True
450,202066,Garrett Temple,Garrett,Temple,True
451,1631207,Dalen Terry,Dalen,Terry,True
452,1642876,Adou Thiero,Adou,Thiero,True
453,1630560,Cam Thomas,Cam,Thomas,True
454,1641708,Amen Thompson,Amen,Thompson,True
455,1641709,Ausar Thompson,Ausar,Thompson,True
456,202691,Klay Thompson,Klay,Thompson,True
457,1629680,Matisse Thybulle,Matisse,Thybulle,True
458,1630214,Xavier Tillman,Xavier,Tillman,True
459,1641772,Nae'Qwan Tomlin,Nae'Qwan,Tomlin,True
460,1642910,John Tonje,John,Tonje,True
461,1642893,Alex Toohey,Alex,Toohey,True
462,1642260,Nikola Topić,Nikola,Topić,True
463,1631210,Jacob Toppin,Jacob,Toppin,True
464,1630167,Obi Toppin,Obi,Toppin,True
465,1626157,Karl-Anthony Towns,Karl-Anthony,Towns,True
466,1642849,Nolan Traore,Nolan,Traore,True
467,1631247,Luke Travers,Luke,Travers,True
468,1629018,Gary Trent Jr.,Gary,Trent Jr.,True
469,1631131,Oscar Tshiebwe,Oscar,Tshiebwe,True
470,1626167,Myles Turner,Myles,Turner,True
471,1641816,Hunter Tyson,Hunter,Tyson,True
472,1642281,Jaylon Tyson,Jaylon,Tyson,True
473,202685,Jonas Valančiūnas,Jonas,Valančiūnas,True
474,1627832,Fred VanVleet,Fred,VanVleet,True
475,1629020,Jarred Vanderbilt,Jarred,Vanderbilt,True
476,1630170,Devin Vassell,Devin,Vassell,True
477,1629216,Gabe Vincent,Gabe,Vincent,True
478,1641774,Tristan Vukcevic,Tristan,Vukcevic,True
479,202696,Nikola Vučević,Nikola,Vučević,True
480,1629731,Dean Wade,Dean,Wade,True
481,1630532,Franz Wagner,Franz,Wagner,True
482,1629021,Moritz Wagner,Moritz,Wagner,True
483,1631133,Jabari Walker,Jabari,Walker,True
484,1641716,Jarace Walker,Jarace,Walker,True
485,1641717,Cason Wallace,Cason,Wallace,True
486,1630811,Keaton Wallace,Keaton,Wallace,True
